文章出处  文章内容  文章链接
动漫  剧场版动画电影《宝可梦：COCO》于今日（12月18日）公开了主题曲MV，曲目为多次与“宝可梦”合作的冈崎体育创作并演唱的“Show Window”，该片即将于12月25日在日本上映。  //hot.cnbeta.com/articles/comic/1067539.htm
动漫  《银魂》最终剧场版动画《银魂 THE FINAL》将于2021年1月8日在日本上映，官方还特别准备了《银魂》最终剧场版的特别动画《银魂 THE SEMI-FINAL》，今天官方公开了特别动画的正式预告。从公开的画面来看，搞笑日常终于又来了。  //hot.cnbeta.com/articles/comic/1067015.htm
动漫  京都动画纵火案今日（12月16日）有更多进展，京都地检依据其精神检定结果，正式起诉纵火嫌犯青叶真司。2019年7月18日位于京都市伏见区的京都动画（京阿尼）第一工作室遭人纵火，造成36人死亡，32人轻重伤。  //hot.cnbeta.com/articles/comic/1066713.htm
动漫  今日（12月16日），官方宣布TV动画《名侦探柯南》将于2021年3月6日迎来开播第1000回，目前还公开了3张特别海报。TV动画《名侦探柯南》改编自青山刚昌创作的同名漫画，于1996年1月8日在读卖电视台首播。  //hot.cnbeta.com/articles/comic/1066493.htm
动漫  根据日媒今日的相关报道，《奥特曼》系列漫画作者一峰大二于2020年11月27日因脑出血及大叶性肺炎而逝世，享年84岁。据悉，一峰大二于1935年出生于东京都，他曾为图画故事作家冈友彦的弟子，并以“机械宅邸的秘密”出道。  //hot.cnbeta.com/articles/comic/1066173.htm
动漫  《蜡笔小新》系列最新第29部剧场版动画电影日前官方正式确定题名，名为《电影蜡笔小新 谜题 花之天卡斯学园》，同时公开了最新预告以及海报艺图，一起先睹为快。《电影蜡笔小新 谜题 花之天卡斯学园》讲述了小新带领的卡斯防卫队在超天才精英学校“天卡斯学园”活跃的故事。  //hot.cnbeta.com/articles/comic/1065469.htm
动漫  《进击的巨人》最终季终于开播了，开播当天就上了热搜，豆瓣评分高达9.9（目前降到了9.8分），在豆瓣平台，这样的高分实属罕见，甚至有网友表示第一次在豆瓣看到有9.9分动漫！有动漫爱好者喜极而泣：“昨晚11点10分生肉开播，今天早上8点熟肉更新，8点30就上热搜了，巨人永远的神！！！”  //hot.cnbeta.com/articles/comic/1065461.htm
动漫  根据日本杂志《Friday》的报道，《精灵宝可梦》系列主角小智的日本声优松本梨香疑似存在欺诈日本政府新冠疫情救济款项的行为。报道中写道，松本梨香的前经纪人声称其有骗取政府救济款的行为。在新冠疫情期间，日本政府为受到疫情影响的艺术家提供了一些援助，有需要的艺术家可以申请10万日元（约合人民币6292元）的救济款。  //hot.cnbeta.com/articles/comic/1065067.htm
动漫  如果您想在旅途中在沙发上自由的玩游戏，那么任天堂Switch显然是个非常适合您的机器。不过相比于游戏，switch上的视频应用并不多。目前，Youtube和Huhu等一些服务已经加入了switch，而且我们或将能够看到新的视频服务也即将加入。  //hot.cnbeta.com/articles/comic/1064977.htm
动漫  很多80、90后一定都对日本国民级动漫《哆啦A梦》大雄误闯静香浴室的桥段印象深刻。据日媒报道，近日，有日本网友在请愿网站change.org上发起请愿，希望删除这一戏份，并获得众多网友支持。  //hot.cnbeta.com/articles/comic/1064107.htm
动漫  据报道，索尼影视娱乐和AT&T今天宣布，AT&T同意将其Crunchyroll动漫业务出售给Funimation Global Group，后者是索尼影视娱乐与索尼音乐娱乐（日本）子公司Aniplex的合资公司。  //hot.cnbeta.com/articles/comic/1063997.htm
动漫  备受期待的《赛博朋克2077》即将正式发售，今日(12月9日)CDPR官方微博宣布，与黑马漫画合作推出的《赛博朋克2077》简体中文版漫画即将上线！官方微博原文：
