文章出处  文章内容  文章链接
影视  有一说一，如果没有约翰尼·德普的贡献，《加勒比海盗》系列肯定不会取得如此大的成功。这些年来重拍翻拍改编电影多到难以计数，一些继任者会让原来演员客串演出来表示尊敬。而迪斯尼对于加勒比系列似乎想要完全脱离之前的电影遗产，还有围绕德普的争议。  //hot.cnbeta.com/articles/movie/1067893.htm
影视  12月19日，腾讯视频内容生态大会在北京举行。会上，腾讯视频宣布在长视频和短视频之外，正式布局中视频业务。中视频生态业务负责人宋爽在会上表示，腾讯视频将中视频分为剧情类和非剧情类，剧情类包含微剧和微动漫，非剧情类则包含微综艺、微纪录、音乐MV、对谈和脱口秀。  //hot.cnbeta.com/articles/movie/1067827.htm
影视  《怪物猎人》真人电影于本月18日在美国上映，IGN为影片打出了3分评价，称其是年度最烂电影之一。IGN表示《生化危机》系列导演保罗安德森的《怪物猎人》真人电影是今年最烂电影之一。《怪物猎人》电影仅一个半小时，但由于其平淡、曲折的剧情，缺少一个核心专注点也没有任何有意义的世界打造，给人的感觉像是折磨了两倍的时长。  //hot.cnbeta.com/articles/movie/1067765.htm
影视  据外媒CNET报道，导演扎克·斯奈德（Zack Snyder）透露，他的四小时剪辑版《正义联盟》将于2021年3月登陆HBO Max。2017年，斯奈德因家庭悲剧（痛失养女 秋·斯奈德）不得不离开导演岗位，《复仇者联盟》系列导演乔斯·韦登（Joss Whedon）被聘请来完成这部电影。  //hot.cnbeta.com/articles/movie/1067687.htm
影视  今日，《神奇女侠1984》在内地开启首映，第一波的观众评分也出炉。截至发稿，《神奇女侠1984》豆瓣评分7.0分，不及第一部。当然，随着上映时间的延长，分数还会波动，但就目前的情况来看，并不乐观，毕竟当前三星居多。  //hot.cnbeta.com/articles/movie/1067551.htm
影视  今天上午，豆瓣2020年度电影榜单公布。简单来说，《阳光普照》登顶高分华语电影榜，《1917》领跑高分外语电影榜，另外，《想见你》仍然稳居高分华语剧集榜榜首。以下是部分具体榜单：  //hot.cnbeta.com/articles/movie/1067517.htm
影视  12月17日午夜，《神奇女侠1984》举行中国首映礼，以连线的方式邀请导演派蒂·杰金斯、制片人查尔斯·罗文、主演盖尔·加朵和佩德罗·帕斯卡与北京、上海、广州、深圳、成都五城的影迷们见面。“神奇女侠”盖尔·加朵也激动表示终于等到了电影的首映，自己能再次穿上战衣也相当激动。  //hot.cnbeta.com/articles/movie/1067495.htm
影视  据IGN报道，《正义联盟》导剪版第一集或将于2021年3月正式上线。这条信息来自TechRadar，他们发现本片导演扎克·施耐德在社交媒体上回复了一则粉丝的消息，他表示：“我理解并尊重你们的感受，我只希望在今年3月你们看到这部作品（导剪版《正义联盟》）后我能够消除这个版本（尾灯版《正义联盟》）的存在。”  //hot.cnbeta.com/articles/movie/1067489.htm
影视  由迪士尼·皮克斯动画工作室出品的年度原创动画电影《心灵奇旅》口碑解禁，收获国内外影评人寄观众的高分力荐，烂番茄评分高达98%，并被影评网站MetaCritic认证年度必看！而国内影评人更是盛赞《心灵奇旅》是“满分之作，创意与技术的绝对领先”，看完电影后会“更加珍惜当下的每个时刻，重新寻回生活的火花”。  //hot.cnbeta.com/articles/movie/1067397.htm
影视  据官方网站报道，曾在大荧幕上首次饰演《星球大战》赏金猎人波巴·费特（Boba Fett）的男演员杰米·布洛奇（Jeremy Bulloch），已因健康相关的并发症（包括罹患多年的帕金森氏症）而于本周四（12 月 17 日）与世长辞，享年 75 岁。  //hot.cnbeta.com/articles/movie/1067393.htm
影视  据外媒报道，日前，《权力的游戏》前传《龙之家族(House of the Dragon)》的开播时间在HBO Max最新发布的宣传视频公开，据悉，该剧定于2022年在HBO和HBO Max上线。该剧根据乔治·R·R·马丁的《火与血》--讲述坦格利安历史的番外系列。  //hot.cnbeta.com/articles/movie/1067343.htm
影视  据外媒报道，甘道夫已经被保护了。英国国家卫生服务机构(NHS)在一份新闻稿中宣布，在《指环王》和《霍比特人》三部曲中扮演甘道夫和《X战警》系列电影中的万磁王等角色的演员伊恩·麦克莱恩于当地时间周四接种了他的第一支新冠肺炎疫苗。  //hot.cnbeta.com/articles/movie/1067281.htm
影视  继《暗黑》后，Netflix再次推出科幻德剧《明日欧洲争霸战》，讲述未来欧洲文明陷落，人类回到部落社会互相争斗。该剧将于2021年2月19日在Netflix首播。官方故事梗概：“未来并非你想像的那样。2074年的欧洲分裂成许多部落，相互争夺统治权。  //hot.cnbeta.com/articles/movie/1067117.htm
影视  12月16日，为纪念《星球大战：帝国反击战》上映40周年，一段6分53秒的幕后特辑曝光，向大家展示了这部《星球大战》系列重要一部的拍摄过程。《星球大战：帝国反击战》于1980年上映，C3PO、R2D2、卢克、蕾雅等经典角色纷纷出场，在冰天雪地中取景让组员们受了不少苦。  //hot.cnbeta.com/articles/movie/1066967.htm
影视  今日《唐人街探案3》发布新预告，电影中贯彻主线的“Q”的身份即将揭晓。《唐人街探案3》中的侦探联盟继续扩大，王宝强、刘昊然、妻夫木聪、托尼贾组成亚洲侦探联盟四人组，继续寻找真相，探寻Q的真实身份，另外还有老朋友肖央、张子枫、邱泽、张钧甯登场。  //hot.cnbeta.com/articles/movie/1066963.htm
影视  美剧《巫师》今日公布了第二季的三张剧照。这三张剧照分别展示了“四把剑”、“挂在树上的旗帜”以及“三块纹章”。Gamesradar表示，由于《巫师》第二季将前往“凯尔莫罕”，因此，这三件物品极有可能是“训练用剑”、“松鼠党旗帜”以及“狼学派徽章”。  //hot.cnbeta.com/articles/movie/1066813.htm
影视  今日（12月16日）。IGN评选出2020年度十佳影片，讽刺喜剧《波拉特2》、《猛禽小队和哈莉·奎茵》、《誓血五人组》、《爱玛》、《隐形人》、《迈阿密的一夜》、《棕榈泉》、《信条》、《芝加哥七君子审判》、《神奇女侠1984》入选。  //hot.cnbeta.com/articles/movie/1066653.htm
影视  DC粉丝们超级期待的扎导的导演剪辑版《正义联盟》工作仍在继续，虽然说离上线播出还很远，但是已经完成了大部分内容。在参加一个粉丝问答活动时，扎导被问到导演剪辑版《正义联盟》特效制作进展到什么程度了，扎导很爽快地回答了这问题。  //hot.cnbeta.com/articles/movie/1066631.htm
影视  据外媒报道，《窈窕淑女(Trinkets)》女星Quintessa Swindell确定加盟由“巨石”道恩·强森主演的DC超级英雄电影《黑亚当》，成为该片最新加入的女性角色。据悉，她将在片中出演超级英雄旋风(Cyclone)一角。旋风本名玛克辛·亨克尔，是正义协会的初级成员，具有操纵风和声音的能力。  //hot.cnbeta.com/articles/movie/1066617.htm
影视  昨天，猫和老鼠日本官方推特账号““トムとジェリー”公式”公布了《猫和老鼠》真人电影的日版预告片，该预告片对比之前放出的北美版有了很多完全不同的新镜头。《猫和老鼠》电影由蒂姆·斯托瑞(《神奇四侠》)执导，布莱恩·舒尔茨、科尼利厄斯·乌里亚诺（《史努比大电影》）担任剧本。  //hot.cnbeta.com/articles/movie/1066609.htm
影视  作为一名特立独行的导演，克里斯托弗·诺兰（Christopher Nolan）已经给观众们带来了许多高品质的作品。今年上映的《信条》（TENET），更是引发了无数粉丝的烧脑讨论。然而最出人意料的，莫过于这名大导演在 20 年前的《记忆碎片》（Memento）一片中暗藏的《信条》彩蛋！  //hot.cnbeta.com/articles/movie/1066565.htm
