文章出处  文章内容  文章链接
影视  曼达洛人第二季现已播出全部8集IGN为曼达洛人第二季终评打出满分10分的好评IGN表示曼达洛人第二季太棒了第16集引人入胜的结局汇聚了星球大战的过去和未来结局引出了第三季故事将会在第三季中延续  //hot.cnbeta.com/articles/movie/1068029.htm
影视  前期被国外影评人狂吹DC卖力营销加之加朵女神助阵神奇女侠1984内地上映两天宣告票房破亿元然而口碑却是一落千丈从开画时的豆瓣71持平前作跌至发稿时的67大量网友仅仅给出了三星及格的评价认为本片虎头蛇尾剧情逻辑牵强只是纯粹的爆米花电影  //hot.cnbeta.com/articles/movie/1068021.htm
影视  Netflix巫师第一季播出之后受到了观众书迷玩家们的一致好评除了叙事线有些凌乱之外其他部分都很不错近日Netflix放出了巫师第一季的NG片段大超说自己是一只性感的烤乳猪还频繁笑场杰洛特的心爱坐骑萝卜演员竟然在片场拉屎  //hot.cnbeta.com/articles/movie/1068007.htm
影视  有一说一如果没有约翰尼德普的贡献加勒比海盗系列肯定不会取得如此大的成功这些年来重拍翻拍改编电影多到难以计数一些继任者会让原来演员客串演出来表示尊敬而迪斯尼对于加勒比系列似乎想要完全脱离之前的电影遗产还有围绕德普的争议  //hot.cnbeta.com/articles/movie/1067893.htm
影视  12月19日腾讯视频内容生态大会在北京举行会上腾讯视频宣布在长视频和短视频之外正式布局中视频业务中视频生态业务负责人宋爽在会上表示腾讯视频将中视频分为剧情类和非剧情类剧情类包含微剧和微动漫非剧情类则包含微综艺微纪录音乐MV对谈和脱口秀  //hot.cnbeta.com/articles/movie/1067827.htm
影视  怪物猎人真人电影于本月18日在美国上映IGN为影片打出了3分评价称其是年度最烂电影之一IGN表示生化危机系列导演保罗安德森的怪物猎人真人电影是今年最烂电影之一怪物猎人电影仅一个半小时但由于其平淡曲折的剧情缺少一个核心专注点也没有任何有意义的世界打造给人的感觉像是折磨了两倍的时长  //hot.cnbeta.com/articles/movie/1067765.htm
影视  据外媒CNET报道导演扎克斯奈德ZackSnyder透露他的四小时剪辑版正义联盟将于2021年3月登陆HBOMax2017年斯奈德因家庭悲剧痛失养女秋斯奈德不得不离开导演岗位复仇者联盟系列导演乔斯韦登JossWhedon被聘请来完成这部电影  //hot.cnbeta.com/articles/movie/1067687.htm
影视  今日神奇女侠1984在内地开启首映第一波的观众评分也出炉截至发稿神奇女侠1984豆瓣评分70分不及第一部当然随着上映时间的延长分数还会波动但就目前的情况来看并不乐观毕竟当前三星居多  //hot.cnbeta.com/articles/movie/1067551.htm
影视  今天上午豆瓣2020年度电影榜单公布简单来说阳光普照登顶高分华语电影榜1917领跑高分外语电影榜另外想见你仍然稳居高分华语剧集榜榜首以下是部分具体榜单  //hot.cnbeta.com/articles/movie/1067517.htm
影视  12月17日午夜神奇女侠1984举行中国首映礼以连线的方式邀请导演派蒂杰金斯制片人查尔斯罗文主演盖尔加朵和佩德罗帕斯卡与北京上海广州深圳成都五城的影迷们见面神奇女侠盖尔加朵也激动表示终于等到了电影的首映自己能再次穿上战衣也相当激动  //hot.cnbeta.com/articles/movie/1067495.htm
