文章出处  文章内容  文章链接
科学  据外媒报道，白宫健康顾问安东尼·福奇博士最新出现在NBC的Today节目上为观众分享了一些有关新冠病毒疫苗的新消息：假设FDA决定按计划进行，那么Moderna COVID疫苗应该是能在下周初提供为全国各地的美国人。  http://www.cnbeta.com/articles/science/1067967.htm
科学  据外媒报道，距离太阳最近的恒星发生了一些奇怪的事情。比邻星发出了一个神秘的无线电信号，这颗星球因为太暗而使得人类无法在地球上用肉眼看到它。然而尽管如此，它是一块离我们只有4.2光年远的宇宙巨石。这颗恒星发出了一个神秘的信号，这是科学家在去年收集的存档数据中发现的。  http://www.cnbeta.com/articles/science/1067957.htm
科学  据外媒报道，美国疾病控制与预防中心(CDC)发出警告称，在新冠大流行期间，吸毒过量死亡人数飙升至前所未有的水平，尤其是涉及合成阿片类药物的死亡人数。该份报告强调了这一流行病的主要意外后果之一以及与之相关的日常生活中断，预计这将对公共卫生产生的影响比这一流行病持续的时间更长。  http://www.cnbeta.com/articles/science/1067947.htm
科学  据外媒报道，随着位于休斯顿的约翰逊航天中心的飞船模拟器的到来，NASA正在为猎户座(Orion)飞船上的宇航员做准备。该模拟器允许宇航员、工程师和飞行控制人员使用猎户座为未来的月球任务训练和实践任务场景。猎户座是将用于首次Artemis登月任务的航天器。  http://www.cnbeta.com/articles/science/1067941.htm
科学  记者从国家航天局获悉，12月19日上午，国家航天局在京举行探月工程嫦娥五号任务月球样品交接仪式，与部分参研参试单位一道，共同见证样品移交至任务地面应用系统，标志着嫦娥五号任务由工程实施阶段正式转入科学研究新阶段，为我国首次地外天体样品储存、分析和研究工作拉开序幕。  http://www.cnbeta.com/articles/science/1067853.htm
科学  Aerojet Rocketdyne公司和美国空军研究实验室（AFRL）实现了超音速喷气发动机新的推力输出新纪录，它可以为高超音速飞行提供动力。经过一年的地面测试，该发动机在各种高超音速飞行条件下能够持续燃烧一个多小时，产生13000磅的推力。  http://www.cnbeta.com/articles/science/1067835.htm
科学  这可能是你看过的最珍贵开箱!12月19日上午，重1700余克的嫦娥五号任务月球样品正式交接。国家航天局局长张克俭向中国科学院院长侯建国移交了嫦娥五号样品容器，交接了样品证书。这意味着我国首次地外天体样品储存、分析和研究工作拉开序幕，将开展月球样品与科学数据的应用和研究。  http://www.cnbeta.com/articles/science/1067831.htm
科学  我校郭光灿院士团队在高维量子通信研究中取得重要进展，该团队李传锋、柳必恒研究组利用六光子系统实验实现了高效的高维量子隐形传态。该成果2020年12月2日发表在国际知名期刊《物理评论快报》上。  http://www.cnbeta.com/articles/science/1067819.htm
科学  记者从中国科学技术大学获悉，该校朱锡锋教授团队近期提出一种新方法，采用农林废弃物热解获得的重质生物油和厨余垃圾中的小龙虾壳，通过简单的合成即可制备成高性能超级电容器的电极材料。  http://www.cnbeta.com/articles/science/1067817.htm
科学  12月17日，嫦娥五号返回器带着月壤成功返回地球，时隔44年，人类再次从月球带回了岩石和土壤样本，我国成为继美国、苏联之后，第三个实现月球采样返回的国家。  http://www.cnbeta.com/articles/science/1067799.htm
科学  根据今天发表在《脊椎动物古生物学杂志》上的最新研究，描述了一种 6600 万年前和恐龙同个时代的奇异哺乳动物--Adalatherium。它是南半球早期哺乳动物演化谜团的重要部分，而且很多东西目前依然缺失。  http://www.cnbeta.com/articles/science/1067793.htm
科学  据外媒报道，詹姆斯·韦伯太空望远镜已经达到了另一个关键的里程碑，为其明年的发射铺平了道路。美国宇航局（NASA）周五详细介绍了这一成就，解释说研发团队能够展开望远镜的“太阳盾”并将其拉紧。“太阳盾”将在太空中经历同样的过程，开启了酝酿多年的任务。  http://www.cnbeta.com/articles/science/1067783.htm
科学  据外媒CNET报道，科学家表示，他们对一种6600万年前的负鼠大小的哺乳动物的奇怪外表感到困惑，这种哺乳动物被称为Adalatherium --译为 "疯狂的野兽"。  http://www.cnbeta.com/articles/science/1067779.htm
科学  重1731克！12月19日，嫦娥五号任务月球样品正式交接。我国首次地外天体样品储存、分析和研究工作拉开序幕，月球“土特产”将实现最大价值。中科院月球与深空探测总体部主任邹永廖介绍，利用返月样品的意义有多种可能。  http://www.cnbeta.com/articles/science/1067751.htm
科学  据国内媒体报道，南非卫生部长穆凯兹12月18日在例行记者会上透露，南非医学专家日前通过基因测序的方式发现，南非的新冠肺炎病毒已经出现变异。穆凯兹坦言，新发现的变异病毒传播速度和感染性明显增强，特别是此前作为“不易感染人群”的年轻人，较此前更易感染上这种变异的新冠病毒。  http://www.cnbeta.com/articles/science/1067741.htm
科学  日前，中国科学技术大学潘建伟、陆朝阳等学者组成的研究团队与中国科学院上海微系统所与信息技术研究所、国家并行计算机工程技术研究中心合作，构建了76个光子的量子计算原型机“九章”。计算玻色采样问题，“九章”处理5000万个样本只需200秒，而目前世界最快的超级计算机需要6亿年。在新闻报道中，都会将“九章”和超算的计算速度作对比，但实际上，量子计算机和超算存在实质性的不同，远不止计算能力上的差别。  http://www.cnbeta.com/articles/science/1067723.htm
科学  据外媒BGR报道，近日作家、注册营养师Lauren Harris-Pincus建议避免食用一家连锁店的超大型汉堡，因为它们是最糟糕的汉堡。这个建议是根据该汉堡中的卡路里、脂肪和碳水化合物的数量而提出的。她和《Eat This, Not That》分享了这些信息。  http://www.cnbeta.com/articles/science/1067707.htm
科学  据外媒BGR报道，白宫卫生顾问安东尼·福奇博士周五在与杜克科学与社会的在线活动中承诺，由于最近的科学进步，“我们将粉碎”新冠大流行。“生物医学研究和科学给我们带来了一些东西，这在十年前看来是不可想象的--能够有一种我们以前从未经历过的新病毒被推到我们身上，（把）我们扔进100多年来最不寻常、最具破坏性的流行病之一，”福奇博士说。  http://www.cnbeta.com/articles/science/1067697.htm
科学  美国宇航局（NASA）选择在明年“按原计划”发射其未来的深空乘员舱“猎户座”，尽管该机构此前发现该航天器的一个动力仪器出现了故障。工程师们一直在考虑是否在飞行器飞行前更换该仪器，但最终决定系统有足够的冗余度来承受该故障部件。  http://www.cnbeta.com/articles/science/1067695.htm
科学  如果天气允许的情况下，你在 12 月 21 日将会看到罕见的木星和土星“大合相”天文奇观。本次的大合相，就是太阳系中两颗最大的行星—木星和土星出现合事件，可以从地球上观测到。  http://www.cnbeta.com/articles/science/1067677.htm
