文章出处  文章内容  文章链接
趣闻  日本又出现了“变异”蔬菜，这也引起了不少网友的围观。近日，在日本鸟取县农场，一位菜农意外收获了一株巨大的日本油菜。日本人称其为小松菜，是油菜的变种。之所以引来网友围观，最重要的还是，这株日本油菜的重量达到了6.2公斤，是普通油菜的200倍。  //hot.cnbeta.com/articles/funny/1067891.htm
趣闻  目前我国大部分地方都已经进入了冬季，特别是东北，气温非常的低。最近东北零下30度吹泡泡瞬间结冰花登上了微博热搜，引起了网友们的关注，之所以被围观还是镜头慢放展示了很梦幻的一幕。  //hot.cnbeta.com/articles/funny/1067861.htm
趣闻  冬季来临，新冠病毒有可能复燃，出门在外戴口罩是保护自己也是保护他人。如果有人不戴口罩呢？日前有网友拍到一则视频，有男子以不戴口罩为由，用蛋糕砸起了路人。该男子首先是在大街上发口罩，理由是宣传正能量，如果对方不配合戴口罩，则会用准备好的蛋糕砸对方脸上，趁对方错愕之际迅速跑掉。  //hot.cnbeta.com/articles/funny/1067563.htm
趣闻  近日，嫦娥五号历经重重困难，成功从太空返回，还捎带了“土特”产月壤。为了欢迎嫦五回家，贵州遵义一位95后手工打造了“木工版嫦娥五号探测器”，走红网络。据媒体报道，小伙子安旭表示，见到爷爷在看嫦五发射的新闻，就想要制作木制版的嫦娥五号探测器。作品超2米高，前后花了15天，在嫦五平安归来当天赶制而成。  //hot.cnbeta.com/articles/funny/1067549.htm
趣闻  大冬天的出门在外，手机续航严重下降，租借共享充电宝又贵又不安全，自带充电宝又有些麻烦，这可如何是好？近日，江苏镇江扬中滨江零碳公园里，新安装了一组能给手机无线充电智能座椅，吸引了众人围观。  //hot.cnbeta.com/articles/funny/1067515.htm
趣闻  小区大门敞开，容易让社会车辆乱入，影响业主们自己停车。辽宁皇姑区一小区的业主想出了妙招，在小区大门上串联了66把锁头，被网友赞为“最便宜的门禁系统”。据报道，该小区之前总有外来车辆进出，停车位被二手车行霸占，院里几乎走不了人。  //hot.cnbeta.com/articles/funny/1067461.htm
趣闻  据外媒报道，来自2020年的最新怪异新闻可能对一些人来说很美味。百事可乐在周四得到2021条转发请求后宣布将推出“可可(Cocoa)”可乐--一种用巧克力和棉花糖调味的可乐饮料。  //hot.cnbeta.com/articles/funny/1067353.htm
趣闻  12月17日1时59分，嫦娥五号返回器在内蒙古四子王旗预定区域成功着陆，探月工程嫦娥五号任务取得圆满成功。零下20摄氏度，坐标四子王旗。酒泉卫星发射中心搜索回收分队深夜出发，凌晨搜寻，漫漫风雪，再寒冷的天也阻挡不住火热的心。  //hot.cnbeta.com/articles/funny/1066955.htm
趣闻  还在用顶星或者天使装扮圣诞树的树顶吗？如果你想要让 2020 年圣诞树变得更有魅力，那么就应该装个尤达宝宝（Baby Yoda）/孩童（Grogu）。这个爆火的明星似乎是今年最受欢迎的圣诞树顶部装饰物。  //hot.cnbeta.com/articles/funny/1066567.htm
趣闻  汉堡、奥利奥、午餐肉组合在一起到底是什么口味？麦当劳要出新口味汉堡了，取名“给力奥餐肉堡”。今日，麦当劳官方宣布，将于12月21日推出给力奥餐肉堡，饼干碎+午餐肉的神奇组合，全国限量40万份。  //hot.cnbeta.com/articles/funny/1066171.htm
趣闻  对于专业的小偷来说，偷车也是“盗亦有道”，都知道奔驰车辆的零整比比较高，而如果只偷奔驰的“易损件”，也能够获得不错的“收益”。近日，英国一对英国夫妇，就遇到了一件让自己匪夷所思的盗窃事件。早上一觉醒来，发现自家刚买的奔驰C级轿跑被“盗窃”了。  //hot.cnbeta.com/articles/funny/1066153.htm
趣闻  日本高龄化社会问题严重反映在人力不足上，除了超商餐厅等服务业大量采用外国籍人员外，SoftBank所开发的机器人“Pepper”更越来越常见于店家导览服务之中。今年更因为疫情的关系，让这些原本用来解决人手不足问题的机器人更加活跃，即便如此，人类对于机器人那份莫名的恐惧并未因此而消失。  //hot.cnbeta.com/articles/funny/1066059.htm
趣闻  当你面临紧急支出却又囊中羞涩时，如果有人好心站出来说“我来付”，你会不会感受到满满的善意？但如果你最终发现，他口中的“我来出”其实是给你申请了一笔网贷，你又会作何感想？而这一幕，刚好发生在了京东金条的广告中……  //hot.cnbeta.com/articles/funny/1065751.htm
趣闻  我们一直以来都很欣赏瑞典设计师Love Hultén的作品，他经常用精美的手工作品向复古游戏和经典计算机的世界致敬。早在2018年，他就因为一款噩梦般的语音合成器《Mr Typo》而游离于世。而现在，他又用诡异的“Voc-25聊天盒”又给我们演示了一次。  //hot.cnbeta.com/articles/funny/1065713.htm
趣闻  一些新手司机对自己的驾驶技术不够自信，有时会自嘲道自己是“马路杀手”。虽然嘴上这么说，但是心里一定要明白，一旦驾车上路，则是一件很严肃的事情，在车辆绝对速度面前，稍有不慎，就会对自己和他人造成伤害。  //hot.cnbeta.com/articles/funny/1065693.htm
